id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1455119,Quiet and beautiful room Xochimilco,3941419,Luis Mario,,Xochimilco,19.273989999999998,-99.12127,Private room,847,1,0,,,1,365
4637821,HOUSE IN XOCHIMILCO´S CHANNEL,15318964,Miguel,,Xochimilco,19.26025,-99.0977,Entire home/apt,2496,2,9,2019-11-02,0.15,1,365
5103240,Cuarto con baño privado,5665059,Lisy,,Xochimilco,19.27145,-99.12909,Private room,182,21,0,,,2,0
5885058,"Loft en Tepepan, Xoch. Al sur ciudad",30563170,Lourdes,,Xochimilco,19.27127,-99.13784,Entire home/apt,490,1,2,2020-01-04,0.36,1,89
6573928,Room for student near schools area,34383377,Ernesto,,Xochimilco,19.27315,-99.12201,Private room,245,1,1,2018-03-25,0.04,1,365
8114775,Se renta habitación al sur del DF,42849577,Guadalupe,,Xochimilco,19.28109,-99.12133,Private room,513,1,0,,,1,365
9472523,Habitaciones en zona sur!,49092973,Laura,,Xochimilco,19.26521,-99.12895,Private room,240,2,40,2020-03-01,0.8,1,154
11362434,Departamento en zona residencial Valle Escondido,57342938,Laura,,Xochimilco,19.27637,-99.1415,Entire home/apt,446,2,0,,,2,179
11884250,Tania & John,55126823,John,,Xochimilco,19.28013,-99.12640999999999,Private room,290,1,6,2019-10-19,0.12,1,363
12142686,Al sur de la Ciudad Xochimilco,65187462,Tetox,,Xochimilco,19.23708,-99.12424,Private room,379,1,0,,,1,365
12324278,Lindo departamento en Xochimilco,3762983,Daniela,,Xochimilco,19.27262,-99.13143000000001,Entire home/apt,557,2,15,2019-08-31,0.35,3,147
14872532,Cozy apartment across from Dolores Olmedo Museum,58843771,Sandra,,Xochimilco,19.26636,-99.12716999999999,Entire home/apt,379,1,9,2020-03-08,0.32,1,204
15716008,Charming bedroom for students,78705654,Adri,,Xochimilco,19.27361,-99.13396,Private room,3722,1,0,,,1,365
15885726,xochimilco muy mexicano,103016873,Macarena,,Xochimilco,19.274729999999998,-99.13003,Private room,245,2,0,,,1,365
17007625,Agujero hobbit en metrópolis Azteca,114009074,Lula,,Xochimilco,19.25044,-99.12411,Private room,299,7,1,2019-09-22,0.12,1,365
17795825,1Mexican home for amazing travelers.,121596173,Maria Elena,,Xochimilco,19.27338,-99.13994,Private room,290,1,48,2020-03-24,1.35,5,147
18021063,cuarto tranquilo en el sur del DF,69092379,Eduardo Froylan,,Xochimilco,19.28494,-99.10893,Private room,26745,1,0,,,1,365
18052236,Habitación Xochimilco,124231276,Nubia,,Xochimilco,19.23997,-99.11328,Private room,743,1,0,,,1,0
18395540,Habitación baño closet para mujer,127432151,Flor,,Xochimilco,19.28085,-99.12428,Private room,245,1,0,,,1,90
18561782,Casa grande con todos los servicios,128861369,Allan,,Xochimilco,19.25926,-99.10947,Entire home/apt,2229,1,0,,,2,365
19624298,La casa de los Ángeles,98494071,Isabel,,Xochimilco,19.278170000000003,-99.13138000000001,Private room,1003,2,1,2017-07-29,0.03,1,362
19682701,"Mexican Style apartment, Heart of Xochimilco",125037579,Susana,,Xochimilco,19.25829,-99.10316,Entire home/apt,691,2,44,2020-02-29,1.25,1,161
19774609,"Tepepan, la Noria, Colegio Alemán,Dolores Olmedo",139595551,Lumon,,Xochimilco,19.26868,-99.12956,Private room,490,2,1,2019-02-17,0.06,1,88
19801660,Departamento independiente con increíble  vista,139860038,Víctor,,Xochimilco,19.25945,-99.11784,Private room,446,1,30,2019-06-09,0.9,1,90
20554297,Ideal para olvidarse del bullicio de la ciudad.,121596173,Maria Elena,,Xochimilco,19.273220000000002,-99.1402,Private room,290,1,12,2020-03-15,0.36,5,331
20558234,1. Ideal para olvidarse del bullicio de la ciudad.,121596173,Maria Elena,,Xochimilco,19.27276,-99.1414,Private room,290,1,15,2019-12-15,0.49,5,147
20558619,2. Ideal para olvidarse del bullicio de la ciudad.,121596173,Maria Elena,,Xochimilco,19.272779999999997,-99.13999,Private room,290,1,30,2020-03-12,0.93,5,331
20602513,Departamento acogedor en Xochimilco,147227126,Agustín,,Xochimilco,19.25915,-99.10596,Entire home/apt,802,5,1,2018-12-29,0.06,1,180
20634151,"Traditional Xochimilco, Mexican Folklore Trajinera",147525370,Ricardo Edgar,,Xochimilco,19.27384,-99.13739,Private room,468,3,0,,,1,83
20643649,Hermosa casa para descansar en CDMX,5673475,Joel Enrique,,Xochimilco,19.27016,-99.13351999999999,Private room,802,2,0,,,1,180
21648737,Rento linda recámara en zona sur,157565230,Marylo,,Xochimilco,19.28002,-99.13154,Private room,490,1,0,,,1,365
21867007,Habitación sencilla en Xochimilco tepepan,159508454,Charlie,,Xochimilco,19.26531,-99.13299,Private room,250,1,0,,,1,0
21957404,Room  in Xochimilco.,160294584,Abraham,,Xochimilco,19.25879,-99.11703,Private room,197,2,4,2020-04-30,0.39,2,365
22084876,El espacio que mereces,150023553,Álvaro,,Xochimilco,19.26785,-99.13873000000001,Entire home/apt,691,2,47,2020-03-16,1.58,1,365
23682489,Habitación privada cerca de Hospitales,177360747,Maribel,,Xochimilco,19.27426,-99.13427,Private room,290,1,2,2019-01-03,0.07,1,180
24154768,Departamento ideal para oficinas y familias,182020953,Jaime,,Xochimilco,19.27026,-99.12965,Entire home/apt,847,7,0,,,1,365
24494628,Por el momento sin servicio,51710151,Alejandro,,Xochimilco,19.2757,-99.12872,Private room,3009,1,1,2018-04-27,0.04,1,365
24779008,Económica habitación Pueblito dentro de la CDMX,136818400,Alicia,,Xochimilco,19.279420000000002,-99.13655,Private room,357,1,0,,,1,365
24805668,Lugar del buen descanso.,186824732,Patricia,,Xochimilco,19.25471,-99.13125,Private room,334,1,0,,,1,364
25263332,La Quinta De Xochimilco,190865624,Isis,,Xochimilco,19.24573,-99.09481,Entire home/apt,1270,1,1,2018-05-28,0.04,1,365
26234017,Acogedor departamento con excelente ubicación,55284511,Monse,,Xochimilco,19.267789999999998,-99.14147,Entire home/apt,891,2,1,2018-07-23,0.04,1,364
26257811,Dormitorio para familias pequeñas,155931555,Eugenia,,Xochimilco,19.253529999999998,-99.09338000000001,Private room,201,1,0,,,2,364
27358013,Departamento en Xochimilco para 4 personas,163019856,Mark,,Xochimilco,19.23399,-99.09640999999999,Entire home/apt,678,1,48,2020-03-15,2.46,1,90
27386567,Casa en  Xochimilco para vacacionstas.,206385393,Gustavo,,Xochimilco,19.265279999999997,-99.12895999999999,Entire home/apt,1471,7,0,,,1,365
